PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1167842,2/7/2017,E,3,SPORT,,E
1167951,2/11/2017,E,3,SPORT,,E
1168115,2/10/2017,E,3,SPORT,,E
1168333,2/13/2017,E,0,SPORT,,E
1168551,2/12/2017,E,3,SPORT,,E
1168660,1/14/2017,E,3,SPORT,,E
1169279,2/17/2017,E,3,SPORT,,E
1169388,2/21/2017,,3,SPORT,,COOK INLET
1169497,2/16/2017,E,3,SPORT,,E
1169506,2/16/2017,E,3,SPORT,,E
1169615,2/17/2017,E,3,SPORT,,E
1169942,2/15/2017,E,3,SPORT,,E
1170070,2/16/2017,E,0,SPORT,,E
1170179,2/16/2017,E,3,SPORT,,E
1170288,2/17/2017,E,3,SPORT,,E
1170406,2/17/2017,E,3,SPORT,,E
1170624,2/14/2017,E,3,SPORT,,E
1170624,2/18/2017,E,3,SPORT,,E
1170733,2/16/2017,E,0,SPORT,,E
1170951,2/18/2017,E,3,SPORT,,E
1171006,2/18/2017,E,3,SPORT,,E
1171115,2/18/2017,E,3,SPORT,,E
1171224,2/15/2017,E,3,SPORT,,E
1171333,2/15/2017,E,3,SPORT,,E
1171442,2/15/2017,E,3,SPORT,,E
1171769,2/8/2017,E,3,SPORT,,E
1172042,2/16/2017,E,3,SPORT,,E
1172151,2/16/2017,E,3,SPORT,,KACHEMAK
1172260,2/16/2017,E,3,SPORT,,KACHEMAK
1172369,2/16/2017,E,0,SPORT,,E
1172705,2/18/2017,E,3,SPORT,,E
1172705,2/25/2017,E,3,SPORT,,E
1172705,2/28/2017,E,3,SPORT,,E
1172814,2/18/2017,E,3,SPORT,,E
1173215,2/17/2017,E,3,SPORT,,E
1173324,2/17/2017,E,3,SPORT,,E
1173869,2/16/2017,E,3,SPORT,,E
1174251,2/17/2017,E,2,SPORT,,E
1174360,2/17/2017,E,3,SPORT,,E
1174360,2/18/2017,E,3,SPORT,,E
1174469,2/17/2017,E,3,SPORT,,E
1174469,2/19/2017,E,3,SPORT,,E
1174578,2/20/2017,E,3,SPORT,,E
1174687,3/15/2017,E,4,SPORT,,TUTCA BAY
1174805,2/18/2017,E,3,SPORT,,E
1174914,2/18/2017,E,2,SPORT,,KACHEMAK BAY
1175088,2/18/2017,E,3,SPORT,,E
1175088,2/28/2017,E,0,SPORT,,E
1175424,2/18/2017,E,3,SPORT,,KACHEMAK BAY
1175424,2/19/2017,E,3,SPORT,,KACHEMAK BAY
1175642,2/18/2017,E,3,SPORT,,E
1175751,2/20/2017,E,2,SPORT,,E
1175969,2/19/2017,E,2,SPORT,,KACHEMAK BAY
1176133,2/21/2017,B,3,SPORT,,B LOWER COOK INLET
1176242,2/21/2017,B,3,SPORT,,B LOWER COOK INLET
1176351,2/20/2017,,3,SPORT,,COOK INLET
1176351,2/22/2017,,3,SPORT,,COOK INLET
1176351,2/24/2017,,3,SPORT,,COOK INLET
1176460,2/20/2017,,3,SPORT,,COOK INLET
1176460,2/22/2017,,3,SPORT,,COOK INLET
1176460,2/24/2017,,3,SPORT,,COOK INLET
1176896,1/3/2017,E,3,SPORT,,E
1176896,1/4/2017,E,3,SPORT,,E
